"Title","Authors","Journal","Year"
"Cmt: Convolutional neural networks meet vision transformers","J Guo, K Han, H Wu, Y Tang, X Chen - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Robust fine-tuning of zero-shot models","M Wortsman, G Ilharco, JW Kim, M Li - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Simple open-vocabulary object detection","M Minderer, A Gritsenko, A Stone, M Neumann -  on Computer Vision, 2022 - Springer","¡¦ on Computer Vision","2022"
"Mdetr-modulated detection for end-to-end multi-modal understanding","A Kamath, M Singh, Y LeCun - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Multiscale vision transformers","H Fan, B Xiong, K Mangalam, Y Li - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"End-to-end semi-supervised object detection with soft teacher","M Xu, Z Zhang, H Hu, J Wang, L Wang - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Maskgit: Masked generative image transformer","H Chang, H Zhang, L Jiang, C Liu - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Efficientnetv2: Smaller models and faster training","M Tan, Q Le - International conference on machine learning, 2021 - proceedings.mlr.press","International conference on machine learning","2021"
"Daformer: Improving network architectures and training strategies for domain-adaptive semantic segmentation","L Hoyer, D Dai, L Van Gool - Proceedings of the IEEE/CVF , 2022 - openaccess.thecvf.com","Proceedings of the IEEE/CVF ¡¦","2022"
"Image super-resolution via iterative refinement","C Saharia, J Ho, W Chan, T Salimans -  on Pattern Analysis , 2022 - ieeexplore.ieee.org","¡¦ on Pattern Analysis ¡¦","2022"
"Cvt: Introducing convolutions to vision transformers","H Wu, B Xiao, N Codella, M Liu, X Dai - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Vivit: A video vision transformer","A Arnab, M Dehghani, G Heigold - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Going deeper with image transformers","H Touvron, M Cord, A Sablayrolles - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Crossvit: Cross-attention multi-scale vision transformer for image classification","CFR Chen, Q Fan, R Panda - Proceedings of the IEEE/CVF , 2021 - openaccess.thecvf.com","Proceedings of the IEEE/CVF ¡¦","2021"
