"Title","Authors","Journal","Year"
"Adabelief optimizer: Adapting stepsizes by the belief in observed gradients","J Zhuang, T Tang, Y Ding - Advances in neural , 2020 - proceedings.neurips.cc","Advances in neural ¡¦","2020"
"High-fidelity gan inversion for image attribute editing","T Wang, Y Zhang, Y Fan, J Wang - Proceedings of the , 2022 - openaccess.thecvf.com","Proceedings of the ¡¦","2022"
"Contrastive learning for unpaired image-to-image translation","T Park, AA Efros, R Zhang, JY Zhu -  , Glasgow, UK, August 23–28, 2020 , 2020 - Springer","¡¦ , Glasgow, UK, August 23–28, 2020 ¡¦","2020"
"Diffwave: A versatile diffusion model for audio synthesis","Z Kong, W Ping, J Huang, K Zhao - arXiv preprint arXiv , 2020 - arxiv.org","arXiv preprint arXiv ¡¦","2020"
"Detco: Unsupervised contrastive learning for object detection","E Xie, J Ding, W Wang, X Zhan, H Xu - Proceedings of the , 2021 - openaccess.thecvf.com","Proceedings of the ¡¦","2021"
"Unsupervised learning methods for molecular simulation data","A Glielmo, BE Husic, A Rodriguez, C Clementi - Chemical , 2021 - ACS Publications","Chemical ¡¦","2021"
"Fairness in machine learning: A survey","S Caton, C Haas - ACM Computing Surveys, 2020 - dl.acm.org","ACM Computing Surveys","2020"
"Application of deep learning algorithms in geotechnical engineering: a short critical review","W Zhang, H Li, Y Li, H Liu, Y Chen, X Ding - Artificial Intelligence Review, 2021 - Springer","Artificial Intelligence Review","2021"
"Denoising diffusion probabilistic models","J Ho, A Jain, P Abbeel - Advances in neural information , 2020 - proceedings.neurips.cc","Advances in neural information ¡¦","2020"
"Self-supervised co-training for video representation learning","T Han, W Xie, A Zisserman - Advances in Neural , 2020 - proceedings.neurips.cc","Advances in Neural ¡¦","2020"
"Visual prompting via image inpainting","A Bar, Y Gandelsman, T Darrell - Advances in Neural , 2022 - proceedings.neurips.cc","Advances in Neural ¡¦","2022"
"Big self-supervised models are strong semi-supervised learners","T Chen, S Kornblith, K Swersky - Advances in neural , 2020 - proceedings.neurips.cc","Advances in neural ¡¦","2020"
" Bootstrap your own latent-a new approach to self-supervised learning","JB Grill, F Strub, F Altché, C Tallec - Advances in neural , 2020 - proceedings.neurips.cc","Advances in neural ¡¦","2020"
"Generative pretraining from pixels","M Chen, A Radford, R Child, J Wu - International , 2020 - proceedings.mlr.press","International ¡¦","2020"
"Training generative adversarial networks with limited data","T Karras, M Aittala, J Hellsten, S Laine - Advances in neural , 2020 - proceedings.neurips.cc","Advances in neural ¡¦","2020"
"In search of lost domain generalization","I Gulrajani, D Lopez-Paz - arXiv preprint arXiv:2007.01434, 2020 - arxiv.org","arXiv preprint arXiv:2007.01434","2020"
